Number,Container_ID,Updated,Notes,Staging Site,Size,DTW_ft,TD_ft,Capacity2,percent
113,256185,Updated,4.7.23 - MR 0200,Tank Farm 5,21000.0,1.75,9.6,7.9,82%
114,257195,Updated,4.7.23 - MR 0143,Tank Farm 5,21000.0,0.0,9.6,9.6,100%
115,257410,Updated,4.7.23 - MR 0143,Tank Farm 5,21000.0,0.0,9.6,9.6,100%
116,257414,Updated,4.7.23 - MR 0153,Tank Farm 5,21000.0,1.75,9.6,7.9,82%
117,257482,Updated,4.7.23 - MR 0156,Tank Farm 5,21000.0,1.83,8.4,6.6,78%
118,265065,Updated,4.7.23 - MR 0156,Tank Farm 5,21000.0,1.33,8.5,7.2,84%
119,266313,Updated,4.7.23 - MR 0159,Tank Farm 5,21000.0,3.17,9.6,6.4,67%
120,505B,Updated,4.7.23 - MR 0150,Tank Farm 5,21000.0,3.58,9.6,6.0,63%
121,513C,Updated,"4.7.23 - MR 0157Note: Container materialappears unusually thick",Tank Farm 5,21000.0,0.9167,9.6,8.7,90%
122,514E,Updated,4.7.23 - MR 0215,Tank Farm 5,16000.0,3.5,9.6,6.1,64%
123,515B,Updated,4.7.23 - MR 0150,Tank Farm 5,21000.0,2.75,9.6,6.9,71%
124,538F,Updated,4.7.23 - MR 0144,Tank Farm 5,21000.0,1.58,9.4,7.8,83%
125,552A,Updated,4.7.23 - MR 0148,Tank Farm 5,21000.0,1.67,9.6,7.9,83%
126,558F,Updated,4.7.23 - MR 0152,Tank Farm 5,21000.0,3.0,9.6,6.6,69%
127,559B,Updated,4.7.23 - MR 0151,Tank Farm 5,21000.0,3.0,9.6,6.6,69%
128,577D,Updated,4.7.23 - MR 0213,Tank Farm 5,16000.0,4.58,7.5,2.9,39%
129,598B,Updated,4.7.23 - MR 0154,Tank Farm 5,21000.0,0.83,9.6,8.8,91%
130,598D,Updated,4.7.23 - MR 0453,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
131,251766,Updated,4.7.23 - MR 0434,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
132,256104,Updated,4.7.23 - MR 0451,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
133,501C,Updated,4.7.23 - MR 0454,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
134,502D,Updated,4.7.23 - MR 0454,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
135,512C,Updated,4.7.23 - MR 0437,Tank Farm 6,21000.0,8.5,9.6,1.1,11%
136,512E,Updated,4.7.23 - MR 0452,Tank Farm 6,16000.0,9.6,9.6,0.0,0%
137,536E,Updated,4.7.23 - MR 0445,Tank Farm 6,21000.0,9.17,9.6,0.4,5%
138,538A,Updated,4.7.23 - MR 0453,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
139,539C,Updated,4.7.23 - MR 0455,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
140,558E,Updated,4.7.23 - MR 0438,Tank Farm 6,21000.0,8.75,9.6,0.9,9%
141,559F,Updated,4.7.23 - MR 0456,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
142,560F,Updated,4.7.23 - MR 0455,Tank Farm 6,21000.0,9.6,9.6,0.0,0%
143,251692,Updated,4.7.23 - MR 0449,Tank Farm 6,21000.0,1.75,9.6,7.9,82%
144,253326,Updated,4.7.23 - MR 0446,Tank Farm 6,21000.0,1.83,9.6,7.8,81%
145,256193,Updated,4.7.23 - MR 0444,Tank Farm 6,21000.0,1.42,9.6,8.2,85%
146,265364,Updated,4.7.23 - MR 0447,Tank Farm 6,21000.0,0.92,9.6,8.7,90%
147,266387,Updated,4.7.23 - MR 0450,Tank Farm 6,21000.0,0.92,9.6,8.7,90%
148,505E,Updated,4.7.23 - MR 0433,Tank Farm 6,16000.0,7.08,9.6,2.5,26%
149,522D,Updated,4.7.23 - MR 0449,Tank Farm 6,21000.0,2.67,9.6,6.9,72%
150,525F,Updated,4.7.23 - MR 0445,Tank Farm 6,21000.0,1.67,9.6,7.9,83%
151,552B,Updated,4.7.23 - MR 0448,Tank Farm 6,21000.0,6.25,9.6,3.4,35%
152,559D,Updated,4.7.23 - MR 0442,Tank Farm 6,16000.0,6.75,8.4,1.7,20%
153,590D,Updated,4.7.23 - MR 0441,Tank Farm 6,16000.0,7.08,8.4,1.3,16%
154,566A,Updated,4.7.23 - SE 1704,Washington St,21000.0,9.6,9.6,0.0,0%
155,0114A,Updated,4.7.23 - SE 1704,WWTP,10000.0,3.5,3.5,0.0,0%
